city_name,description,cause_of_incident,from_road,to_road,affected_roads,incident_category_desc,magnitude_of_delay_desc,length_in_meters,delay_in_seconds,incident_date
Guimaraes,"slow traffic",,"Rua De Angola (N105)","N206 (N105)",N105,Jam,Minor,404,27,"2018-10-29 12:27:09.553000"
Guimaraes,"stationary traffic",,"Rua Do Montinho (N101)","IC5 (Mesão Frio) (N101)",N101,Jam,Major,321,400,"2018-10-29 12:27:09.553000"
Guimaraes,"stationary traffic",,Urgezes,"Largo da República do Brasil (N101)",,Jam,Major,298,172,"2018-10-29 11:07:09.576000"
Guimaraes,"stationary traffic",,Urgezes,"Largo da República do Brasil (N101)",,Jam,Major,298,167,"2018-10-29 10:47:09.690000"
Guimaraes,"queuing traffic",,"Rua Do Parque Industrial Da Ponte (N101)","IC5/N105 (N101)",N101,Jam,Moderate,1436,320,"2018-10-29 09:07:09.534000"
Guimaraes,"stationary traffic",,"IC5/N105 (N101)","Rua João Paulo II (N101)",N101,Jam,Major,674,134,"2018-10-29 08:47:09.550000"
Guimaraes,"slow traffic",,"N206 (N105)","Rua De Angola (N105)",N105,Jam,Minor,329,38,"2018-10-29 08:47:09.550000"
Guimaraes,"stationary traffic",,"Praça Cidade Igualada / Rua Calouste Gulbenkian","Largo Condessa Mumadona (N101) / Rua Doutor Pedro Carvalho",,Jam,Major,205,187,"2018-10-29 08:47:09.550000"
Guimaraes,"stationary traffic",,"Rua De Teixeira De Pascoais (N101)","Rua João Paulo II (N101)",N101,Jam,Major,946,211,"2018-10-29 08:27:09.522000"
Guimaraes,"stationary traffic",,"Rua De Teixeira De Pascoais (N101)","Rua João Paulo II (N101)",N101,Jam,Major,946,262,"2018-10-29 08:07:09.523000"
Guimaraes,"stationary traffic",,"IC5/N105 (N101)","Rua João Paulo II (N101)",N101,Jam,Major,791,218,"2018-10-29 07:47:09.453000"
Guimaraes,"stationary traffic",,"Rua Eduardo Manuel De Almeida (N105)","Rua De Angola (N105)",N105,Jam,Major,245,263,"2018-10-28 18:27:09.510000"
Guimaraes,"stationary traffic",,"Rua De Cam?es (N101)","Largo Da República Do Brasil (N101)",N101,Jam,Major,286,214,"2018-10-28 17:27:09.566000"
Guimaraes,"stationary traffic",,"Largo Comandante Luís de Pina","Avenida de Cónego Gaspar Estaço / Largo Condessa Mumadona",N101,Jam,Major,739,510,"2018-10-28 17:07:09.627000"
Guimaraes,"stationary traffic",,"Rua De São Gonçalo/Rua De Gil Vicente (N101)","Largo Da República Do Brasil (N101)",N101,Jam,Major,726,430,"2018-10-28 16:47:10.318000"
Guimaraes,"stationary traffic",,"Rua De São Gonçalo/Rua De Gil Vicente (N101)","Largo Da República Do Brasil (N101)",N101,Jam,Major,517,374,"2018-10-28 16:27:09.521000"
Guimaraes,"stationary traffic",,"Rua de São Torcato","Rua Capitão Alfredo Guimarães",N207-4,Jam,Major,307,260,"2018-10-28 16:27:09.521000"
Guimaraes,"queuing traffic",,"Vista Alegre (N105)","Rua De Angola (N105)",N105,Jam,Moderate,1143,189,"2018-10-28 16:27:09.521000"
Guimaraes,"queuing traffic",,"Rua De São Gonçalo/Rua De Gil Vicente (N101)","Largo Da República Do Brasil (N101)",N101,Jam,Moderate,353,180,"2018-10-28 16:07:09.589000"
Guimaraes,"stationary traffic",,N101,"Largo de Navarros de Andrade",,Jam,Major,367,249,"2018-10-28 16:07:09.589000"
